epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6199,0.52203,108.253,0.18647,0,0,0,0,3.88253,92.1625,1.30788,0.00054,0.00054,0.00054
2,17.5614,0.06768,81.8315,0.02095,0,0,0,0,3.38276,106.38,1.07166,0.00107822,0.00107822,0.00107822
3,24.5265,0.22199,66.9701,0.07027,0,0,0,0,0.0003,69.4984,0.00066,0.00159426,0.00159426,0.00159426
4,31.4577,0.77793,54.7377,0.25714,0,0,0,0,3.74939,23.9311,1.04299,0.0018812,0.0018812,0.0018812
5,38.3324,0.49882,43.457,0.16754,0,0,0,0,4.36639,51.8246,3.5639,0.0018416,0.0018416,0.0018416
6,45.0387,0.00144,33.4819,0.00078,0,0,0,0,4.47055,204.07,1.49516,0.001802,0.001802,0.001802
7,51.7852,0,25.6536,0,0,0,0,0,4.51104,24.2568,1.29418,0.0017624,0.0017624,0.0017624
8,58.6048,0.11759,19.4582,0.03493,0,0,0,0,3.86054,12.015,1.21359,0.0017228,0.0017228,0.0017228
