epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.4941,2.65673,27.0872,0.91499,0.40679,0.3569,0.31042,0.10227,2.68952,2.10839,0.91898,0.000663551,0.000663551,0.000663551
2,113.052,2.58451,2.27229,0.90058,0.66607,0.4567,0.52162,0.20183,2.28995,1.63689,0.87868,0.00131705,0.00131705,0.00131705
3,165.781,2.47128,2.08937,0.89181,0.68912,0.46465,0.51316,0.18008,2.43897,2.12799,0.89279,0.00195735,0.00195735,0.00195735
4,218.027,2.36975,1.97663,0.87897,0.62989,0.49832,0.55696,0.2059,2.31369,1.71666,0.8702,0.0019406,0.0019406,0.0019406
5,270.312,2.34583,1.80778,0.88005,0.69922,0.50095,0.59063,0.23575,2.1443,1.61058,0.86315,0.0019208,0.0019208,0.0019208
6,322.86,2.26644,1.70374,0.87348,0.69018,0.59259,0.6562,0.25148,2.0994,1.55443,0.8529,0.001901,0.001901,0.001901
7,375.285,2.17557,1.64325,0.86265,0.68753,0.62232,0.66717,0.29029,2.05614,1.2601,0.86054,0.0018812,0.0018812,0.0018812
8,427.839,2.13064,1.5442,0.86014,0.76291,0.63973,0.71732,0.3179,1.97958,1.21379,0.85197,0.0018614,0.0018614,0.0018614
9,480.696,2.07413,1.51444,0.85861,0.71932,0.55219,0.67108,0.28769,2.09789,1.37016,0.85181,0.0018416,0.0018416,0.0018416
10,533.139,2.06687,1.5467,0.85745,0.84198,0.58923,0.75167,0.31867,1.9596,1.31994,0.84296,0.0018218,0.0018218,0.0018218
11,585.783,1.99376,1.45309,0.84924,0.8367,0.70034,0.81594,0.39507,1.8189,1.02575,0.82774,0.001802,0.001802,0.001802
12,638.372,1.95847,1.36754,0.84319,0.78318,0.68013,0.75794,0.35068,1.84255,1.24258,0.83217,0.0017822,0.0017822,0.0017822
13,690.787,1.98031,1.37038,0.84341,0.81545,0.74386,0.81859,0.40572,1.82338,0.9667,0.82958,0.0017624,0.0017624,0.0017624
14,743.319,1.92207,1.27609,0.84251,0.83871,0.74411,0.82418,0.40343,1.80235,0.99923,0.83499,0.0017426,0.0017426,0.0017426
15,795.8,1.91765,1.25938,0.84691,0.79175,0.74411,0.81925,0.39363,1.78923,1.05777,0.82907,0.0017228,0.0017228,0.0017228
16,848.224,1.85448,1.2256,0.83959,0.78854,0.72824,0.81055,0.40158,1.74861,1.04685,0.82848,0.001703,0.001703,0.001703
17,900.707,1.85207,1.25142,0.83538,0.79313,0.77454,0.8431,0.44173,1.66016,0.93333,0.82295,0.0016832,0.0016832,0.0016832
18,953.288,1.79905,1.18913,0.83403,0.78383,0.74411,0.81949,0.4197,1.74441,0.96314,0.82334,0.0016634,0.0016634,0.0016634
19,1005.65,1.83103,1.19807,0.83394,0.80801,0.75084,0.83279,0.43788,1.668,0.88256,0.82137,0.0016436,0.0016436,0.0016436
20,1058,1.73134,1.12846,0.83205,0.89493,0.71693,0.8194,0.42695,1.68447,1.03826,0.82497,0.0016238,0.0016238,0.0016238
21,1110.35,1.7983,1.20461,0.82524,0.829,0.79983,0.8445,0.4449,1.63197,0.862,0.82046,0.001604,0.001604,0.001604
22,1162.85,1.80711,1.13934,0.83477,0.82846,0.76094,0.86783,0.47283,1.58662,0.94544,0.8181,0.0015842,0.0015842,0.0015842
23,1215.47,1.76096,1.08587,0.83823,0.84702,0.73064,0.83595,0.38347,1.80447,0.97204,0.82309,0.0015644,0.0015644,0.0015644
24,1267.85,1.74427,1.10729,0.82784,0.90664,0.76094,0.86966,0.47197,1.58794,0.8836,0.81565,0.0015446,0.0015446,0.0015446
25,1320.21,1.76188,1.04995,0.83879,0.91033,0.79798,0.88949,0.4858,1.55951,0.79701,0.81396,0.0015248,0.0015248,0.0015248
26,1372.75,1.71088,1.02648,0.82927,0.83076,0.79335,0.86105,0.4739,1.6177,0.82483,0.81879,0.001505,0.001505,0.001505
27,1425.29,1.70939,1.03323,0.83408,0.8073,0.72727,0.81791,0.42054,1.65462,0.94341,0.8187,0.0014852,0.0014852,0.0014852
28,1477.91,1.7189,1.05601,0.82714,0.86746,0.79461,0.8714,0.44356,1.63617,0.82252,0.81586,0.0014654,0.0014654,0.0014654
29,1530.31,1.72222,1.018,0.82984,0.84846,0.7729,0.87189,0.48592,1.55045,0.76203,0.81368,0.0014456,0.0014456,0.0014456
30,1582.61,1.64189,0.98693,0.81907,0.86359,0.81818,0.89177,0.4975,1.49637,0.83535,0.80819,0.0014258,0.0014258,0.0014258
31,1634.92,1.66661,0.97024,0.82874,0.85308,0.78203,0.86606,0.43095,1.69318,0.79854,0.81893,0.001406,0.001406,0.001406
32,1687.22,1.65375,0.98188,0.8241,0.90016,0.77104,0.8745,0.51899,1.49372,0.85926,0.81289,0.0013862,0.0013862,0.0013862
33,1739.67,1.64021,0.94704,0.82113,0.91496,0.79694,0.89715,0.48074,1.61964,0.76531,0.81775,0.0013664,0.0013664,0.0013664
34,1792.05,1.63756,1.00128,0.81549,0.89933,0.78203,0.88495,0.50175,1.50393,0.74601,0.81268,0.0013466,0.0013466,0.0013466
35,1844.5,1.59051,0.91508,0.82645,0.85481,0.82155,0.87123,0.51004,1.45465,0.72861,0.80849,0.0013268,0.0013268,0.0013268
36,1896.89,1.64116,0.95817,0.82908,0.8419,0.82492,0.8844,0.51072,1.48775,0.71317,0.80964,0.001307,0.001307,0.001307
37,1949.16,1.56909,0.88802,0.82319,0.89407,0.84175,0.90241,0.5305,1.42997,0.70124,0.80957,0.0012872,0.0012872,0.0012872
38,2001.69,1.56193,0.9053,0.81734,0.8515,0.81818,0.88461,0.52298,1.45444,0.69937,0.806,0.0012674,0.0012674,0.0012674
39,2054.14,1.5851,0.90648,0.81494,0.86199,0.82017,0.88759,0.50823,1.50324,0.74046,0.80803,0.0012476,0.0012476,0.0012476
40,2106.66,1.55165,0.86141,0.82191,0.91364,0.85492,0.91557,0.5409,1.42617,0.63655,0.80428,0.0012278,0.0012278,0.0012278
41,2159.16,1.5733,0.87401,0.81737,0.90315,0.84512,0.91353,0.52921,1.46969,0.6836,0.80731,0.001208,0.001208,0.001208
42,2211.6,1.56258,0.8611,0.81394,0.91374,0.85598,0.92621,0.53804,1.45313,0.69388,0.80446,0.0011882,0.0011882,0.0011882
43,2264.01,1.56935,0.84826,0.82102,0.91135,0.83071,0.90889,0.5088,1.55497,0.70246,0.81128,0.0011684,0.0011684,0.0011684
44,2316.45,1.54216,0.82901,0.8159,0.89041,0.84805,0.91541,0.53211,1.49224,0.73031,0.80841,0.0011486,0.0011486,0.0011486
45,2368.75,1.56141,0.8272,0.82297,0.94726,0.82492,0.92537,0.57266,1.37507,0.65718,0.80201,0.0011288,0.0011288,0.0011288
46,2421.37,1.52407,0.81098,0.82952,0.87157,0.85859,0.90537,0.54519,1.41428,0.69166,0.80458,0.001109,0.001109,0.001109
47,2473.73,1.4946,0.84645,0.80808,0.93168,0.83165,0.91128,0.53188,1.46187,0.64958,0.80544,0.0010892,0.0010892,0.0010892
48,2526,1.49496,0.79722,0.80987,0.91084,0.86195,0.92091,0.56762,1.36625,0.6286,0.80315,0.0010694,0.0010694,0.0010694
49,2578.32,1.46487,0.77893,0.81405,0.87369,0.86169,0.91446,0.54039,1.45777,0.63557,0.81022,0.0010496,0.0010496,0.0010496
50,2630.64,1.47581,0.77905,0.8156,0.89243,0.85859,0.91951,0.54946,1.42689,0.62622,0.80223,0.0010298,0.0010298,0.0010298
51,2683.04,1.49912,0.83513,0.80931,0.8604,0.79125,0.88439,0.53449,1.41875,0.6495,0.80435,0.00101,0.00101,0.00101
52,2735.4,1.48584,0.78716,0.81531,0.90766,0.82744,0.90611,0.53576,1.46544,0.66718,0.80534,0.0009902,0.0009902,0.0009902
53,2787.63,1.44324,0.72891,0.8131,0.88802,0.82492,0.909,0.55503,1.44971,0.68811,0.80525,0.0009704,0.0009704,0.0009704
54,2839.85,1.4754,0.76306,0.81329,0.87284,0.86869,0.91972,0.55146,1.42843,0.63451,0.80156,0.0009506,0.0009506,0.0009506
55,2892.19,1.4399,0.74072,0.80676,0.89537,0.8356,0.90532,0.5384,1.4345,0.70939,0.80174,0.0009308,0.0009308,0.0009308
56,2944.5,1.40249,0.73031,0.80323,0.88117,0.84894,0.91727,0.56634,1.39117,0.61273,0.80035,0.000911,0.000911,0.000911
57,2996.98,1.44406,0.75558,0.80719,0.92707,0.78788,0.9039,0.56158,1.39024,0.62851,0.80226,0.0008912,0.0008912,0.0008912
58,3049.22,1.42073,0.72269,0.81,0.90789,0.82967,0.92201,0.57721,1.35312,0.60335,0.80083,0.0008714,0.0008714,0.0008714
59,3101.53,1.39404,0.72094,0.80642,0.92064,0.85522,0.92526,0.57749,1.39482,0.6445,0.80193,0.0008516,0.0008516,0.0008516
60,3153.8,1.41066,0.73691,0.80312,0.90073,0.85541,0.92973,0.58379,1.39061,0.64268,0.80088,0.0008318,0.0008318,0.0008318
61,3206.2,1.36918,0.69345,0.80649,0.91082,0.81818,0.91772,0.5582,1.42228,0.65534,0.80461,0.000812,0.000812,0.000812
62,3258.44,1.40425,0.71194,0.80368,0.90547,0.87082,0.93563,0.57925,1.3634,0.585,0.79914,0.0007922,0.0007922,0.0007922
63,3310.9,1.36126,0.68965,0.80712,0.92958,0.85185,0.94125,0.5982,1.35124,0.59454,0.79889,0.0007724,0.0007724,0.0007724
64,3363.34,1.36792,0.69065,0.79822,0.89451,0.85656,0.92198,0.57635,1.41039,0.64456,0.80098,0.0007526,0.0007526,0.0007526
65,3415.56,1.38219,0.68431,0.80764,0.92008,0.84175,0.92652,0.57951,1.38993,0.63077,0.80096,0.0007328,0.0007328,0.0007328
66,3467.63,1.38623,0.69903,0.80834,0.92103,0.86389,0.92614,0.57672,1.36809,0.61068,0.80173,0.000713,0.000713,0.000713
67,3520,1.38335,0.68884,0.79769,0.93413,0.85859,0.93612,0.59633,1.29471,0.57643,0.79754,0.0006932,0.0006932,0.0006932
68,3572.23,1.35823,0.64726,0.80159,0.89465,0.84512,0.92644,0.5774,1.33574,0.57211,0.79851,0.0006734,0.0006734,0.0006734
69,3624.47,1.34711,0.66521,0.80459,0.9227,0.84401,0.92867,0.59881,1.29676,0.56818,0.79745,0.0006536,0.0006536,0.0006536
70,3676.7,1.32892,0.62398,0.80243,0.90141,0.82828,0.92634,0.59,1.32391,0.60395,0.79744,0.0006338,0.0006338,0.0006338
71,3729.1,1.3128,0.63453,0.80357,0.89919,0.84096,0.92673,0.59374,1.28886,0.56938,0.79728,0.000614,0.000614,0.000614
72,3781.31,1.32402,0.64599,0.80488,0.86662,0.85185,0.92451,0.58198,1.34087,0.56771,0.79905,0.0005942,0.0005942,0.0005942
73,3833.46,1.34011,0.63542,0.8058,0.9076,0.86195,0.93446,0.60434,1.30534,0.57974,0.7982,0.0005744,0.0005744,0.0005744
74,3885.72,1.31132,0.6131,0.80423,0.89996,0.84807,0.93228,0.59889,1.32836,0.57954,0.79915,0.0005546,0.0005546,0.0005546
75,3937.99,1.29805,0.61903,0.8115,0.91572,0.85859,0.93894,0.6072,1.31186,0.57765,0.79862,0.0005348,0.0005348,0.0005348
76,3990.4,1.27298,0.60778,0.80083,0.92495,0.87146,0.94625,0.61604,1.29159,0.55517,0.7969,0.000515,0.000515,0.000515
77,4042.74,1.29032,0.62854,0.79937,0.91631,0.82492,0.92748,0.59995,1.32375,0.59862,0.79696,0.0004952,0.0004952,0.0004952
