epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46551,5.15486,19.3038,3.38009,0.00017,0.02632,0.0001,4e-05,4.29654,15.9547,2.69446,0.0001667,0.0001667,0.0001667
2,7.25265,3.79935,6.95323,2.04816,0.00122,0.36842,0.00119,0.00043,2.68543,206.264,1.72838,0.000343139,0.000343139,0.000343139
3,9.39232,2.847,4.25455,1.51894,0.04373,0.23456,0.04615,0.01816,2.12958,37.1451,1.34432,0.000512316,0.000512316,0.000512316
4,11.9147,2.53614,2.65628,1.47357,0.32383,0.33875,0.31759,0.11956,2.2503,3.49627,1.38204,0.000674231,0.000674231,0.000674231
5,14.0504,2.48346,2.32719,1.3969,0.68286,0.36425,0.21771,0.08521,2.29919,2.17317,1.41899,0.000828886,0.000828886,0.000828886
6,16.1094,2.45772,2.16015,1.41535,0.63257,0.40838,0.14271,0.04578,2.37017,2.43248,1.61257,0.000976279,0.000976279,0.000976279
7,18.0692,2.33209,1.81368,1.35901,0.81283,0.39591,0.43705,0.15622,2.14901,1.93985,1.44247,0.00111641,0.00111641,0.00111641
8,20.3201,2.38038,1.86892,1.36715,0.77138,0.42105,0.39226,0.12358,2.23217,1.78313,1.4397,0.00124928,0.00124928,0.00124928
9,22.2603,2.3135,1.70458,1.35705,0.88951,0.31579,0.41275,0.11816,2.21596,1.5642,1.44662,0.00137489,0.00137489,0.00137489
10,24.5677,2.20317,1.66051,1.33487,0.93907,0.36842,0.5065,0.17246,2.2047,1.62729,1.48724,0.00136994,0.00136994,0.00136994
11,26.6654,2.29478,1.62715,1.39662,0.79424,0.37654,0.37681,0.15542,2.2111,1.59599,1.42677,0.00133693,0.00133693,0.00133693
12,28.7707,2.1546,1.54449,1.38015,0.87105,0.44737,0.44237,0.16135,2.07742,1.4972,1.34095,0.00130393,0.00130393,0.00130393
13,30.7295,2.08567,1.48693,1.3326,0.89307,0.47368,0.48585,0.1916,2.03641,1.48894,1.33412,0.00127092,0.00127092,0.00127092
14,32.9955,2.03732,1.44177,1.37388,0.85512,0.42105,0.4804,0.17937,1.97657,1.61479,1.3079,0.00123791,0.00123791,0.00123791
15,34.9554,2.10494,1.35261,1.40117,0.8303,0.44737,0.43254,0.16656,1.99098,1.54462,1.30712,0.00120491,0.00120491,0.00120491
16,37.2162,1.98749,1.35203,1.32358,0.84449,0.42105,0.43835,0.1853,1.99783,1.43399,1.3172,0.0011719,0.0011719,0.0011719
17,39.1718,1.98266,1.31437,1.33327,0.84838,0.42105,0.42845,0.17235,1.99846,1.44338,1.31937,0.00113889,0.00113889,0.00113889
18,41.4109,1.92887,1.27347,1.31059,0.88847,0.4586,0.51813,0.22088,1.81007,1.32559,1.21504,0.00110589,0.00110589,0.00110589
19,43.4971,1.94645,1.26392,1.31604,0.92801,0.46954,0.53374,0.25175,1.70103,1.235,1.19309,0.00107288,0.00107288,0.00107288
20,45.6596,1.98769,1.24621,1.34851,0.9521,0.49691,0.51416,0.24629,1.64308,1.30173,1.1781,0.00103987,0.00103987,0.00103987
21,47.6261,1.85578,1.25281,1.24393,0.8864,0.5,0.46975,0.204,1.77773,1.35867,1.21466,0.00100687,0.00100687,0.00100687
