epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21431,4.48291,16.9709,3.16462,0.00032,0.05263,0.00019,4e-05,4.01354,15.8079,2.52095,0.0001667,0.0001667,0.0001667
2,8.68308,3.17175,7.37407,2.00199,0.00151,0.44737,0.00285,0.00086,2.54547,159.232,1.59775,0.000315413,0.000315413,0.000315413
3,11.0862,2.52332,4.1763,1.55358,0.66658,0.09266,0.19069,0.06099,2.31111,3.30599,1.41961,0.000427819,0.000427819,0.000427819
4,13.1979,2.34127,2.80491,1.52192,0.79931,0.3535,0.34019,0.13095,2.31929,2.8383,1.40645,0.000503917,0.000503917,0.000503917
5,15.3018,2.27557,2.31381,1.45705,0.81568,0.40589,0.36377,0.12992,2.25753,2.5805,1.42271,0.000543709,0.000543709,0.000543709
6,17.4338,2.18116,2.01751,1.39636,0.82732,0.36842,0.35829,0.13043,2.21343,2.02541,1.46823,0.000547193,0.000547193,0.000547193
7,19.5224,2.24224,1.79408,1.48523,0.7665,0.28947,0.271,0.08679,2.22732,2.00686,1.49731,0.00051437,0.00051437,0.00051437
8,21.5057,2.10925,1.74104,1.37725,0.78447,0.42105,0.35961,0.1093,2.14476,1.88632,1.41725,0.000445239,0.000445239,0.000445239
9,23.7285,2.11109,1.58576,1.3969,0.85313,0.36842,0.36426,0.1105,2.27782,1.7708,1.4685,0.000339801,0.000339801,0.000339801
10,25.6677,2.09975,1.59378,1.30411,0.8372,0.43631,0.39177,0.14294,2.13645,1.68926,1.34766,0.000181703,0.000181703,0.000181703
